#data imported from #https://www.nndc.bnl.gov/astro/calcmacs.jsp
modn	nucleus	model	cntry	year	reac	kT	MACS	ngamma
2	67-Ho-165	ENDF/B-VII.1 	USA 	2011	(nγ)	68.9387	8.465E2	9.223E9
3	67-Ho-165	JEFF-3.1 	Europe 	2005	(nγ)	68.9387	8.467E2	9.223E9
4	67-HO-165	ENDF/B-VI.8 	USA 	2001	(nγ)	68.9387	8.467E2	9.223E9
5	67-Ho-165	ROSFOND 	RUSSIA 	2008	(nγ)	68.9387	8.465E2	9.223E9
1	67-Ho-165	ENDF/B-VIII.0 	USA 	2006	(nγ)	77.556	7.913E2	9.223E9
2	67-Ho-165	ENDF/B-VII.1 	USA 	2011	(nγ)	77.556	7.913E2	9.223E9
3	67-Ho-165	JEFF-3.1 	Europe 	2005	(nγ)	77.556	7.914E2	9.223E9
4	67-HO-165	ENDF/B-VI.8 	USA 	2001	(nγ)	77.556	7.914E2	9.223E9
5	67-Ho-165	ROSFOND 	RUSSIA 	2008	(nγ)	77.556	7.913E2	9.223E9
1	67-Ho-165	ENDF/B-VIII.0 	USA 	2006	(nγ)	86.1733	7.444E2	9.223E9
2	67-Ho-165	ENDF/B-VII.1 	USA 	2011	(nγ)	86.1733	7.444E2	9.223E9
3	67-Ho-165	JEFF-3.1 	Europe 	2005	(nγ)	86.1733	7.445E2	9.223E9
4	67-HO-165	ENDF/B-VI.8 	USA 	2001	(nγ)	86.1733	7.445E2	9.223E9
5	67-Ho-165	ROSFOND 	RUSSIA 	2008	(nγ)	86.1733	7.444E2	9.223E9
1	67-Ho-165	ENDF/B-VIII.0 	USA 	2006	(nγ)	129.260	5.836E2	9.223E9
2	67-Ho-165	ENDF/B-VII.1 	USA 	2011	(nγ)	129.260	5.836E2	9.223E9
3	67-Ho-165	JEFF-3.1 	Europe 	2005	(nγ)	129.260	5.836E2	9.223E9
4	67-HO-165	ENDF/B-VI.8 	USA 	2001	(nγ)	129.260	5.836E2	9.223E9
5	67-Ho-165	ROSFOND 	RUSSIA 	2008	(nγ)	129.260	5.836E2	9.223E9
1	67-Ho-165	ENDF/B-VIII.0 	USA 	2006	(nγ)	172.347	4.854E2	9.223E9
2	67-Ho-165	ENDF/B-VII.1 	USA 	2011	(nγ)	172.347	4.854E2	9.223E9
3	67-Ho-165	JEFF-3.1 	Europe 	2005	(nγ)	172.347	4.854E2	9.223E9
4	67-HO-165	ENDF/B-VI.8 	USA 	2001	(nγ)	172.347	4.854E2	9.223E9
5	67-Ho-165	ROSFOND 	RUSSIA 	2008	(nγ)	172.347	4.854E2	9.223E9
1	67-Ho-165	ENDF/B-VIII.0 	USA 	2006	(nγ)	301.607	3.258E2	9.223E9
2	67-Ho-165	ENDF/B-VII.1 	USA 	2011	(nγ)	301.607	3.258E2	9.223E9
3	67-Ho-165	JEFF-3.1 	Europe 	2005	(nγ)	301.607	3.257E2	9.223E9
4	67-HO-165	ENDF/B-VI.8 	USA 	2001	(nγ)	301.607	3.257E2	9.223E9
5	67-Ho-165	ROSFOND 	RUSSIA 	2008	(nγ)	301.607	3.258E2	9.223E9

