#nucleus-nld-mass-strength-omp 166Bi-1-1-1-1
      E       f(M1)        f(E1)        T(M1)        T(E1)
1.00000E-03 0.00000E+00 8.97808E-09 0.00000E+00 2.37139E-16
2.00000E-03 6.32589E-13 8.97753E-09 3.17974E-20 1.89723E-15
5.00000E-03 1.58147E-12 8.97587E-09 1.24209E-18 2.96495E-14
1.00000E-02 3.16296E-12 8.97310E-09 1.98734E-17 2.37268E-13
2.00000E-02 6.32597E-12 8.96755E-09 3.17978E-16 1.89929E-12
5.00000E-02 1.58159E-11 8.95072E-09 1.24218E-14 2.97302E-11
1.00000E-01 3.16392E-11 8.92217E-09 1.98795E-13 2.38554E-10
2.00000E-01 6.33368E-11 8.86336E-09 3.18366E-12 1.91977E-09
3.00000E-01 9.51516E-11 8.80270E-09 1.61421E-11 6.51720E-09
4.00000E-01 1.27143E-10 8.74067E-09 5.11271E-11 1.55379E-08
5.00000E-01 1.59370E-10 8.67777E-09 1.25169E-10 3.05224E-08
6.00000E-01 1.91894E-10 8.61449E-09 2.60433E-10 5.30457E-08
7.00000E-01 2.24778E-10 8.55132E-09 4.84426E-10 8.47181E-08
8.00000E-01 2.58084E-10 8.48875E-09 8.30254E-10 1.27187E-07
9.00000E-01 2.91878E-10 8.42729E-09 1.33693E-09 1.82139E-07
1.00000E+00 3.26228E-10 8.36743E-09 2.04975E-09 2.51303E-07
1.10000E+00 3.61202E-10 8.30968E-09 3.02070E-09 3.36453E-07
1.20000E+00 3.96873E-10 8.25455E-09 4.30899E-09 4.39412E-07
1.30000E+00 4.33317E-10 8.20257E-09 5.98158E-09 5.62056E-07
1.40000E+00 4.70612E-10 8.15426E-09 8.11385E-09 7.06320E-07
1.50000E+00 5.08839E-10 8.11016E-09 1.07903E-08 8.74203E-07
1.60000E+00 5.48086E-10 8.07082E-09 1.41055E-08 1.06777E-06
1.70000E+00 5.88443E-10 8.03679E-09 1.81648E-08 1.28918E-06
1.80000E+00 6.30005E-10 8.00865E-09 2.30856E-08 1.54065E-06
1.90000E+00 6.72873E-10 7.98698E-09 2.89984E-08 1.82451E-06
2.00000E+00 7.17154E-10 7.97239E-09 3.60481E-08 2.14319E-06
2.20000E+00 8.10414E-10 7.96690E-09 5.42194E-08 2.89528E-06
2.40000E+00 9.10777E-10 7.99735E-09 7.91090E-08 3.81881E-06
2.60000E+00 1.01936E-09 8.06921E-09 1.12572E-07 4.93804E-06
2.80000E+00 1.13746E-09 8.18835E-09 1.56888E-07 6.28012E-06
3.00000E+00 1.26650E-09 8.36107E-09 2.14858E-07 7.87560E-06
3.20000E+00 1.40818E-09 8.59417E-09 2.89926E-07 9.75911E-06
3.40000E+00 1.56437E-09 8.89503E-09 3.86328E-07 1.19701E-05
3.60000E+00 1.73725E-09 9.27167E-09 5.09272E-07 1.45538E-05
3.80000E+00 1.92927E-09 9.73286E-09 6.65158E-07 1.75621E-05
