161Dy(3He,alpha)160Dy from Renstroem et al., PRC 98, 054310 (2018)
Data first presented in Guttormsen et al., PRC 68, 064306 (2003)
The err is the uncertainty straight out from rhosigchi.f
The err_tot includes normalization uncertainties in D0,<Gg> and the spin distribution
ACL, 4 April 2019
Eg(MeV)	 f(MeV^-1)	 err(MeV^-1)	 err_tot(MeV^-1)
1.220	 1.3908E-08	 3.0587E-09	 5.4814E-09
1.340	 1.5561E-08	 2.3553E-09	 5.4673E-09
1.460	 1.5915E-08	 2.0450E-09	 5.2994E-09
1.580	 1.7912E-08	 1.6499E-09	 5.5772E-09
1.700	 2.3568E-08	 1.8449E-09	 7.0300E-09
1.820	 2.8626E-08	 1.6894E-09	 8.1465E-09
1.940	 3.0709E-08	 1.9649E-09	 8.4968E-09
2.060	 2.8703E-08	 1.6097E-09	 7.6407E-09
2.180	 3.2684E-08	 1.8414E-09	 8.4254E-09
2.300	 3.2496E-08	 1.6539E-09	 8.0752E-09
2.420	 3.5084E-08	 1.9674E-09	 8.4865E-09
2.540	 4.2077E-08	 2.2379E-09	 9.8444E-09
2.660	 4.3644E-08	 2.5051E-09	 9.9610E-09
2.780	 4.4861E-08	 2.6667E-09	 9.9878E-09
2.900	 4.2632E-08	 2.6335E-09	 9.2870E-09
3.020	 4.1286E-08	 2.8684E-09	 8.8972E-09
3.140	 4.0374E-08	 2.7141E-09	 8.5160E-09
3.260	 4.1765E-08	 2.9640E-09	 8.7368E-09
3.380	 3.6836E-08	 2.9272E-09	 7.7440E-09
3.500	 4.0495E-08	 3.6230E-09	 8.6340E-09
3.620	 4.1460E-08	 3.3539E-09	 8.6964E-09
3.740	 3.9163E-08	 3.9639E-09	 8.5923E-09
3.860	 3.9483E-08	 4.0133E-09	 8.7497E-09
3.980	 4.0385E-08	 4.4515E-09	 9.2336E-09
4.100	 3.9990E-08	 4.0823E-09	 9.1515E-09
4.220	 4.2822E-08	 3.9101E-09	 9.8209E-09
4.340	 5.1524E-08	 5.3323E-09	 1.2385E-08
4.460	 5.7859E-08	 6.3065E-09	 1.4439E-08
4.580	 5.8480E-08	 6.3763E-09	 1.5039E-08
4.700	 5.5708E-08	 7.0746E-09	 1.5233E-08
4.820	 5.8977E-08	 6.8475E-09	 1.6373E-08
4.940	 7.1865E-08	 8.1197E-09	 2.0564E-08
5.060	 6.0178E-08	 8.7019E-09	 1.8658E-08
5.180	 5.9229E-08	 9.4968E-09	 1.9432E-08
5.300	 7.5212E-08	 1.1012E-08	 2.5023E-08
5.420	 8.1956E-08	 1.1706E-08	 2.8106E-08
5.540	 9.0340E-08	 1.5968E-08	 3.3445E-08
5.660	 1.0234E-07	 1.6330E-08	 3.8368E-08
5.780	 6.8649E-08	 2.0620E-08	 3.1851E-08
5.900	 8.1527E-08	 2.4333E-08	 3.8654E-08
6.020	 9.6665E-08	 2.3398E-08	 4.3840E-08
6.140	 1.2561E-07	 3.3355E-08	 6.0205E-08
6.260	 1.3631E-07	 3.0171E-08	 6.4094E-08
6.380	 1.2255E-07	 4.5173E-08	 6.9500E-08
6.500	 1.1787E-07	 4.1358E-08	 6.7024E-08
6.620	 1.2671E-07	 5.3787E-08	 7.9703E-08
6.740	 1.1155E-07	 6.4727E-08	 8.4092E-08
