162Dy(3He,3He')162Dy from Renstroem et al., PRC 98, 054310 (2018)
Data first presented in Guttormsen et al., PRC 68, 064306 (2003)
The err is the uncertainty straight out from rhosigchi.f
The err_tot includes normalization uncertainties in D0,<Gg> and the spin distribution
ACL, 4 April 2019
Eg(MeV)	 f(MeV^-1)	 err(MeV^-1)	 err_tot(MeV^-1)
1.100	 1.5813E-08	 1.6168E-09	 4.5783E-09
1.220	 1.8475E-08	 1.4098E-09	 5.0763E-09
1.340	 1.9163E-08	 1.2916E-09	 5.0922E-09
1.460	 1.8540E-08	 1.2831E-09	 4.8111E-09
1.580	 2.0162E-08	 1.0197E-09	 5.0075E-09
1.700	 1.9934E-08	 1.0242E-09	 4.8186E-09
1.820	 1.7604E-08	 1.0020E-09	 4.1583E-09
1.940	 1.9022E-08	 8.7782E-10	 4.3188E-09
2.060	 2.4813E-08	 1.0611E-09	 5.4485E-09
2.180	 3.2371E-08	 9.0414E-10	 6.8084E-09
2.300	 3.5660E-08	 9.2775E-10	 7.2479E-09
2.420	 3.7517E-08	 1.1642E-09	 7.3982E-09
2.540	 3.8843E-08	 9.7909E-10	 7.3660E-09
2.660	 4.5804E-08	 1.2272E-09	 8.3917E-09
2.780	 4.8526E-08	 1.2818E-09	 8.5693E-09
2.900	 4.8969E-08	 1.5591E-09	 8.3772E-09
3.020	 4.5377E-08	 1.2769E-09	 7.4471E-09
3.140	 4.8444E-08	 1.5061E-09	 7.6797E-09
3.260	 4.4299E-08	 1.5318E-09	 6.7932E-09
3.380	 4.2221E-08	 1.7393E-09	 6.3063E-09
3.500	 4.6166E-08	 1.7292E-09	 6.6018E-09
3.620	 4.4876E-08	 1.8645E-09	 6.2428E-09
3.740	 4.7236E-08	 2.0504E-09	 6.3790E-09
3.860	 4.8878E-08	 2.3365E-09	 6.4694E-09
3.980	 5.3872E-08	 2.4849E-09	 6.8987E-09
4.100	 5.4947E-08	 2.7982E-09	 6.9638E-09
4.220	 6.0008E-08	 3.1181E-09	 7.4785E-09
4.340	 6.1403E-08	 3.1589E-09	 7.5230E-09
4.460	 6.5366E-08	 3.3736E-09	 7.9343E-09
4.580	 6.9345E-08	 3.3363E-09	 8.2835E-09
4.700	 7.5755E-08	 4.3675E-09	 9.3843E-09
4.820	 7.7408E-08	 4.5579E-09	 9.7126E-09
4.940	 7.9758E-08	 5.1163E-09	 1.0350E-08
5.060	 7.4761E-08	 5.6753E-09	 1.0340E-08
5.180	 8.3292E-08	 6.1296E-09	 1.1670E-08
5.300	 1.0548E-07	 7.4351E-09	 1.5005E-08
5.420	 1.1316E-07	 9.4419E-09	 1.7345E-08
5.540	 1.0941E-07	 1.0491E-08	 1.8050E-08
5.660	 1.2149E-07	 1.0684E-08	 2.0133E-08
5.780	 1.3596E-07	 1.2307E-08	 2.3493E-08
5.900	 1.2795E-07	 1.5654E-08	 2.5205E-08
6.020	 2.0146E-07	 2.1539E-08	 3.9106E-08
6.140	 2.1445E-07	 2.4516E-08	 4.3938E-08
6.260	 1.9422E-07	 2.7883E-08	 4.4473E-08
6.380	 2.3723E-07	 2.9090E-08	 5.3062E-08
6.500	 1.8144E-07	 2.7468E-08	 4.4939E-08
6.620	 2.0903E-07	 3.9871E-08	 5.8572E-08
6.740	 3.1636E-07	 4.4050E-08	 8.0971E-08
6.860	 2.9006E-07	 4.5982E-08	 7.9714E-08
6.980	 2.6399E-07	 5.7522E-08	 8.4491E-08
7.100	 2.4024E-07	 5.7669E-08	 8.2331E-08
7.220	 3.2470E-07	 8.3864E-08	 1.1784E-07
7.340	 3.6838E-07	 8.4735E-08	 1.2940E-07
7.460	 2.5336E-07	 9.1434E-08	 1.1514E-07
