163Dy(3He,alpha)162Dy from Renstroem et al., PRC 98, 054310 (2018)
Data first presented in Guttormsen et al., PRC 68, 064306 (2003)
The err is the uncertainty straight out from rhosigchi.f
The err_tot includes normalization uncertainties in D0,<Gg> and the spin distribution
ACL, 4 April 2019
Eg(MeV)	 f(MeV^-1)	 err(MeV^-1)	 err_tot(MeV^-1)
1.340	 4.2854E-09	 3.4719E-09	 3.7271E-09
1.460	 1.3665E-08	 2.1057E-09	 4.6824E-09
1.580	 1.8933E-08	 1.8832E-09	 5.9073E-09
1.700	 1.9954E-08	 1.8339E-09	 5.9813E-09
1.820	 2.4599E-08	 2.0564E-09	 7.0660E-09
1.940	 2.3049E-08	 1.8805E-09	 6.3745E-09
2.060	 2.3118E-08	 1.8608E-09	 6.1514E-09
2.180	 2.7870E-08	 2.0078E-09	 7.0618E-09
2.300	 3.3756E-08	 2.0921E-09	 8.1124E-09
2.420	 3.8558E-08	 2.1843E-09	 8.8130E-09
2.540	 4.2037E-08	 2.2321E-09	 9.1325E-09
2.660	 4.0442E-08	 2.3979E-09	 8.4323E-09
2.780	 4.4341E-08	 2.6533E-09	 8.7981E-09
2.900	 4.5122E-08	 2.6628E-09	 8.4849E-09
3.020	 4.3681E-08	 3.2037E-09	 8.0086E-09
3.140	 4.3974E-08	 2.9422E-09	 7.5338E-09
3.260	 4.6267E-08	 3.2477E-09	 7.5651E-09
3.380	 4.0138E-08	 3.5325E-09	 6.5700E-09
3.500	 4.4782E-08	 3.4671E-09	 6.7320E-09
3.620	 4.4049E-08	 3.8788E-09	 6.5703E-09
3.740	 4.2987E-08	 4.0926E-09	 6.3460E-09
3.860	 4.6439E-08	 4.1051E-09	 6.4246E-09
3.980	 5.0430E-08	 4.7515E-09	 6.9827E-09
4.100	 4.8118E-08	 4.9845E-09	 6.8702E-09
4.220	 5.0012E-08	 5.4706E-09	 7.3138E-09
4.340	 5.6016E-08	 6.6502E-09	 8.6241E-09
4.460	 6.3231E-08	 6.3172E-09	 8.9906E-09
4.580	 7.3019E-08	 7.6292E-09	 1.0888E-08
4.700	 6.1538E-08	 7.6314E-09	 1.0344E-08
4.820	 7.7084E-08	 8.7074E-09	 1.2826E-08
4.940	 8.1605E-08	 8.5597E-09	 1.3774E-08
5.060	 6.9735E-08	 1.0562E-08	 1.4548E-08
5.180	 9.9535E-08	 1.3974E-08	 2.0865E-08
5.300	 8.3880E-08	 1.4148E-08	 2.0008E-08
5.420	 9.5247E-08	 1.6332E-08	 2.3844E-08
5.540	 1.2046E-07	 2.0003E-08	 3.1011E-08
5.660	 7.2620E-08	 2.4503E-08	 2.8923E-08
5.780	 9.6574E-08	 2.4586E-08	 3.2938E-08
5.900	 1.1668E-07	 2.3785E-08	 3.6991E-08
6.020	 9.2494E-08	 3.2687E-08	 4.0527E-08
6.140	 1.6439E-07	 4.4226E-08	 6.3320E-08
6.260	 2.3808E-07	 5.2345E-08	 8.7148E-08
6.380	 2.3484E-07	 5.8185E-08	 9.3200E-08
6.500	 2.2297E-07	 8.2990E-08	 1.1057E-07
6.620	 2.1099E-07	 8.5569E-08	 1.1245E-07
